Title,Company_name,Location,Contract_type,Requirement,Salary,Technical_skills,Link_image,URL
UI/UX Designer,ILA Vietnam,"The Crest Residence, Metropole Thu Thiem Urban Area, 15 Tran Bach Dang, Thu Thiem Ward, Thu Duc City",Full-time,"Job description Job Purpose: Support the UI/UX design and development of both new and current technologies for websites, web & mobile applications, and business applications. Internal All departments in ILA External IT service providers and ILA customers Responsibilities ● Design and refine user interfaces for websites, web & mobile applications, and business applications. ● Conduct user research to understand internal and external customers' needs and behaviors. ● Translate user feedback into optimized UX to minimize strain and workload of end users ● Develop and maintain design wireframes, mockups, and specifications. ● Collaborate with product management and software teams to define and implement innovative solutions for product direction, visuals, and experience. ● Execute all visual design stages from concept to launch. ● Create and maintain a consistent brand image and ensure that the user experience is consistent across all platforms. ● Conduct user testing of applications, software, and websites. ● Evaluate user feedback and adjust designs accordingly to increase user satisfaction.Job requirements Qualifications ● Bachelor’s degree in Graphic Design, Interaction Design (UI/UX), or a related field (preferred). ● 3+ years of proven experience in UI/UX design with a strong portfolio of design projects. ● Strong proficiency in HTML and CSS. Experience with JavaScript, Sass/LESS (preferred), and frameworks/libraries. ● Experience with ERP and Business Application Design, such as Odoo (preferred). ● Proficiency in visual design and wireframing tools. ● Experience in creating wireframes, storyboards, user flows, process flows, style guides, and site maps. ● Excellent visual design skills with sensitivity to user-system interaction. Skills ● Highly proficient and knowledgeable with HTML and CSS. ● Proficiency in use of design tools, such as Adobe XD, Sketch, Figma, InVision, etc. ● Strong understanding of user-centered design principles. Other Requirements ● Customer service minded ● Adaptable and able to work in a dynamic workplace ● Collaborative and team-oriented ● Excellent verbal and written communication skills",Negotiable,"SKILLGraphic Design, Interaction Design, Adobe XD, Figma, UI/UX",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fa2%2F11234769.png&w=256&q=75,https://www.vietnamworks.com/ui-ux-designer--1766970-jd?source=searchResults&searchType=2&placement=1767470&sortBy=date
"Software Developer, Public Bank Securities Vietnam Company Limited",Public Bank Vietnam Ltd,Hanoi,Full-time,"Job description We are seeking a talented and experienced Software Engineer to join our growing IT department at Public Bank Securities of Viet Nam. In this role, you will play a key part in developing, maintaining, and enhancing our critical software systems used for our securities business. You will work collaboratively with a team of engineers, analysts, and business partners to ensure the smooth operation and security of our financial technology infrastructure. • Design, develop, test, and deploy secure and scalable software solutions for the IT department; • Collaborate with business partners to understand their needs and translate them into technical requirements; • Write clean, well-documented, and maintainable code according to best practices; • Work effectively within a team environment to develop and implement solutions; • Identify, troubleshoot, and resolve software bugs and technical issues; • Stay up-to-date with the latest software development technologies and best practices; • Participate in code reviews and knowledge sharing within the team; • May assist with the development and implementation of disaster recovery plans.Job requirements • Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience); • Minimum of 3 years of experience working as a software engineer or programmer in a financial services or related industry (a plus); • Strong proficiency in at least one high-level programming language (e.g., Java, Python, C#); • Experience with object-oriented programming principles and design patterns; • Experience with relational databases (e.g., SQL Server, Oracle) and database management systems; • Experience with version control systems (e.g., Git); • Excellent analytical and problem-solving skills; • Strong communication, collaboration, and interpersonal skills; • Ability to work independently and manage multiple tasks effectively; • A passion for technology and a commitment to continuous learning; • A strong understanding of financial markets and regulations is highly desirable. • Fluency in financial terms and concepts would be a significant advantage. • The ability to stay current with emerging technologies in the financial service technology or securities is preferred.",$1500 - $2000,"SKILLProgrammer, Software Development, SQL, Oracle, Python",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd4%2F11179695.png&w=256&q=75,https://www.vietnamworks.com/software-developer-public-bank-securities-vietnam-company-limited-1766945-jd?source=searchResults&searchType=2&placement=1767445&sortBy=date
"IT Manager, Public Bank Securities Vietnam Company Limited",Public Bank Vietnam Ltd,Hanoi,Full-time,"Job description The IT Manager plays a critical role in ensuring the smooth, secure, and reliable operation of all technology systems that underpin the company's securities business activities. This position requires technical expertise, leadership skills, and a deep understanding of the financial services and securities industry. Overall IT Strategy and Leadership: • Develop and implement a long-term IT strategy aligned with the company's business goals and regulatory requirements; • Lead and manage a team of IT professionals, including network administrators, security specialists, system analysts, and developers; • Oversee the selection, implementation, and maintenance of all software, and network infrastructure; • Act as the PM for securities trading platform upgrade project including URD, UAT and software development. Security and Compliance: • Implement and maintain a robust information security program to protect sensitive financial data and ensure compliance with industry regulations; • Manage security risks and vulnerabilities, including conducting regular penetration testing and security audits; • Develop and enforce security policies and procedures for all IT staff and users; Trading System Performance: • Ensure the high availability, performance, and scalability of trading systems to minimize downtime and potential financial losses; • Work closely with the trading desk to understand their needs and develop solutions to optimize system performance; • Stay up-to-date on the latest advancements in financial technology (FinTech) that can improve trading efficiency and risk management. Data Management: • Oversee the design, implementation, and management of data storage and retrieval systems for all financial data; • Ensure data integrity, consistency, and accessibility for various departments like risk management, compliance, and analytics; • Implement data governance policies and procedures to ensure responsible data collection, storage, and usage. Communication and Collaboration: • Effectively communicate IT initiatives and challenges to senior management; • Collaborate closely with other departments, such as Finance, Compliance, and Risk Management, to ensure IT systems meet their specific needs; • Foster a culture of innovation and continuous improvement within the IT department.Job requirements • Bachelor's degree or higher in Computer Science, Information Technology, or a related field. • Minimum 3-5 years of experience in IT developer in securities industry and manage a team of at least 10 staff. • Strong understanding of information security principles and best practices. • Experience working with financial software applications and trading platforms. • Excellent communication, collaboration, and problem-solving skills. • Strong leadership qualities with the ability to motivate and inspire a team. • Ability to work under pressure and meet deadlines in a fast-paced environment. • A strong understanding of financial markets and regulations is highly desirable. • Fluency in financial terms and concepts would be a significant advantage. • The ability to stay current with emerging technologies in the financial service technology or securities is preferred.",$1700 - $2510,"SKILLInformation Technology, IT Software, Security Control, Trading System",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd4%2F11179695.png&w=256&q=75,https://www.vietnamworks.com/it-manager-public-bank-securities-vietnam-company-limited-1766944-jd?source=searchResults&searchType=2&placement=1767444&sortBy=date
ITO Project Manager (Fluent Korean & English),Công Ty TNHH CJ Olivenetworks VINA,"CJ Building, No. 2 Bis 4-6 Le Thanh Ton, Ben Nghe Ward, District 1, HCMC",Full-time,"Job description - Language Requirement: Korean (fluent), English (upper intermediate) - Korean and Vietnamese candidates are welcome to apply About Us: CJ OliveNetworks Vina is a dynamic and innovative IT company, dedicated to fostering talent and providing exciting growth opportunities. We are committed to innovation and excellence in everything we do, and we are looking for talented individuals to join our team and help us continue to grow. We are seeking a highly motivated and experienced ITO Project Manager to join our dynamic team. In this role, you will play a pivotal role in developing and managing our global e-commerce platform and other critical application systems. You will be responsible for leading projects from inception to completion, ensuring they are delivered with the highest quality standards. Job Description - Participate in system integration (SI) projects to develop and manage application systems, acting as a Project Manager (PM) and overseeing developers. - Serve as the ITO PM for the operation of Amorepacific Global E-commerce Malls (such as Innisfree in Malaysia, Laneige and Amorepacific in Hong Kong and Taiwan) - Act as the PM for the Global Site Renewal Project of Amorepacific, managing domestic operations and Vietnamese GDC developers. - Analyze customer requirements for each task, design and develop systems accordingly. - Conduct testing and defect resolution for developed features and produce deliverables.Job requirements I. Experience: - 5+ years of experience in IT development/ operation project management - Proven track record in developing and managing systems based on Magento, Java & Spring Framework. - Demonstrated experience in successfully building and operating e-commerce websites and CRM systems. - Global proficiency and exposure in project management. - Proficiency in effectively managing customer relationships and human resources within project teams. II. Skills / Knowledge: - Fluent in business English and Korean with effective communication skills to communicate directly with customers (mandatory). - Proficiency in Java, JavaScript, HTML5, and proficiency with various open-source technologies. - Strong command of database management systems including MongoDB, PostgreSQL, MySQL, and other open-source databases. - Extensive experience in designing, implementing, and utilizing Open APIs. - In-depth knowledge and hands-on experience with e-commerce platforms such as Magento, Shopify, etc. - Possess a proactive mindset with a demonstrated ability to drive results. - Excellent customer management skills, including handling key customer interactions, listening to and addressing their feedback (VOC), analyzing and supporting received tasks, and predicting and discovering new business opportunities. - Strong human resource management skills, including team building, conflict resolution, and performance evaluation. - Strong issue-resolution skills, with the ability to identify and address challenges promptly and effectively. - Demonstrated proficiency in quality management, ensuring that projects adhere to high standards and meet client requirements. III. Why you'll love working here 1. Salary and Benefit - Attractive salary and benefit (Competitive Basic Salary; 13th Salary; Lunch, Gasoline and Telephone allowance; Incentive Bonus) and annual salary review - Premium Healthcare for you, 100% covered by the company. Annual medical checking (up to USD5,000 per year) - Full-fill package: Full government social, health and unemployment insurance - Extra bonus per personal events (Wedding, Funeral, Birthday, Newborn baby) - Paid leave (12 days per year ) and 01 day for Company Foundation Day - Paid over time according to Labor Law - Discount 40% for CJ's brands (CGV Cinema, Tous Les Jours, CJ Food, Meet Master, CJ Market, etc.). 2. Working Environment - Working time: Monday – Friday. We work 40 hours per week - English working environment: Opportunity to work onsite abroad and work on challenging GDC projects. Work closely with both Vietnamese and Korean experts - Internal English/Korean Class: Fully sponsored by the Company after working time - Company trip and team building, football club, dinner party every month. We love playing teamwork games - Free snacks, drinks (tea, coffee, etc.)",$3000 - $6000,"SKILLKorean, English, Project Management, Ecommerce Technology, Java",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fac%2F11212237.png&w=256&q=75,https://www.vietnamworks.com/ito-project-manager-fluent-korean-english--1758248-jd?source=searchResults&searchType=2&placement=1758748&sortBy=date
IT Service Desk - Specialist (Shift Work),Công Ty TNHH Sản Xuất First Solar Việt Nam,"Binh Duong, Vietnam Lot A1 and A2, Road D10, Dong Nam Industrial Park, Binh My, Cu Chi",Full-time,"Job description Primary Responsibilities: Provides support, operations and maintenance services to divisional IT staff and Corporate Executives. Services require a high degree of customer service, technical expertise, and velocity to return the customer to a working state. Provides escalation enterprise level assistance for a wide array of technical and procedural issues. Disciplined execution of established operations, maintenance processes and procedures. Very frequent interactions with customers and must be effective in interpersonal communications and problem solving using various verbal and written methods. Effective use of the established administration and support tools, processes and procedures to help achieve the department's goal of being Operationally Excellent. Key Competencies: • Defines, documents and carries out small projects or sub-projects (typically less than six months, for e.g. Thesis project or part time job,…), alone or with a small team. • Installs or removes hardware and/or software, using supplied installation instructions and tools including, where appropriate, handover to the client. Conducts tests, corrects malfunctions, and documents results in accordance with agreed procedures. Reports details of all hardware/software items that have been installed and removed so that configuration management records can be updated. Provides assistance to users in a professional manner following agreed procedures for further help or escalation. Maintains accurate records of user requests, contact details and outcomes. Contributes to the development of installation procedures and standards. • Controls IT assets in one or more significant areas, ensuring that administration of the acquisition, storage, distribution, movement and disposal of assets is carried out. • Assesses, analyses, develops, documents and implements changes based on requests for change. • Ensures that incidents and requests are handled according to agreed procedures. Ensures that documentation of the supported components is available and in an appropriate form for those providing support. Creates and maintains support documentation.Job requirements Experience: • Fresh College Graduated. Education: • Bachelor’s degree in Information Technology or equality majors. Required Skills/Competencies: • Excellent customer services and interpersonal skills. • Ability to set customer service standards and follow guidelines, as well as to help others interpret policy. • Ability to be self-sufficient and work with little supervision. • Strong English oral and written communication skills (technical and non-technical). • Demonstrated problem-solving skills. • Broad range of network and desktop knowledge is highly desirable, including: o OS: Windows XP, Windows 7, Windows 8, Windows Server 2008, Windows Server 2012 o Applications: MS Office 2013, 2016 IE7, IE8, Custom FS Application experience preferred o Network TCP/IP, WINS, DNS, DHCP • May be required to kneel, bend, talk and hear. • Specific vision abilities are required. • Fluency in English and Vietnamese, spoken and written, is required",Negotiable,"SKILLEnglish, IT System Administration, IT Helpdesk, Service Desk",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F02%2F11129728.png&w=256&q=75,https://www.vietnamworks.com/it-service-desk-specialist-shift-work--1758099-jd?source=searchResults&searchType=2&placement=1758599&sortBy=date
Network Project Sales - Network System Project Sales Specialist,Công Ty Cổ Phần Nhà An Toàn,"Building 97 - 99 Lang Ha, Dong Da, Hanoi",Full-time,"Job description PRODUCT: NETWORK EQUIPMENT, NETWORK SYSTEM INTEGRATED SECURITY RUIJIE - Responsible for project sales: solutions for equipment, network systems and integrated security network systems + Directly perform work sales: consulting, technical support, quotation, customer care; + Negotiate, negotiate and sign sales contracts; + Monitor and handle customer debt; + Support after-sales issues to continue maintaining good relationships with customers. – Implement marketing, promotion and sales promotion programs – Develop business plans, plans and strategies to achieve sales goals and expand market share – Care for and maintain cooperative relationships Long-term, good cooperation with existing customers. Develop business relationships with new customers. – Coordinate departments to achieve the company's business goals – Make reports and analyze business plans to management levels.Job requirements ** REQUIREMENTS: – Have at least 1 year of experience in project business Projects on technology equipment/network equipment/IT equipment - Experience working with partners/customers: IT companies, contractors, Real Estate investors, schools, businesses, factories ,… – Can read and understand basic principle diagrams of IT systems – Have knowledge of technology equipment, security equipment, IT equipment – ​​English certificates and network certificates are an advantage - Capture information about companies and competitive products - Ability to thoroughly analyze and solve problems - Customer care skills to grasp customer needs - Create Word; Excel; Powerpoint; Email – Using many social platforms such as tiktok, facebook, youtube,... is an advantage. ** BENEFITS: – Gross salary: 15 – 20 +++ million/month. – Working hours: From Monday – Saturday morning (From 8:00 a.m. – 5:30 p.m., 1.5-hour lunch break) – Holiday bonuses on occasions: April 30 – May 1, September 2, New Year, Lunar New Year Calendar – Birthday gifts for employees – Gifts for female employees: March 8, October 20. – Gifts for employees with children under 15 years old: June 1 – Travel/vacation once/year – Salary increase considered once/year – Full enjoyment of social insurance, health insurance, unemployment insurance. Enjoy 12 days of leave/year - Fully equipped with computer and telephone working facilities by the company. – Participate in weekly physical education and sports activities: Football – Participate in professional development and career development courses.",From $600,"SKILLBusiness, Sales, Network Systems",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F3a%2F11126460.png&w=256&q=75,https://www.vietnamworks.com/network-project-sales-chuyen-vien-kinh-doanh-du-an-he-thong-mang--1757571-jd?source=searchResults&searchType=2&placement=1758071&sortBy=date
Business Analyst - Data Block,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hanoi, Vietnam",Full-time,"Job description - Survey the current status and evaluate the needs of operational units/departments regarding data mining and report building; Consulting and analyzing data exploitation needs from operational units/departments in the bank; Transform business requirements into requirements for data, systems and data mining support tools; Coordinate with development units and data architects to provide suitable products for business units/departments - Learn and propose improvements to improve efficiency and shorten report creation time Reporting and retrieving data at business units across the company, with a focus on developing data self-service skills at business units - Managing the reporting service portfolio, in That identifies the owner of the reports, the business units/departments currently using the reports, as well as the frequency and purpose of using data services - Coordinate with the above newspaper development departments systems to collect data source information for reports in the management portfolio - Learn, evaluate, and propose solutions for centralized management of the reporting portfolio. - Operate and manage the reporting portfolio management system. - Support other departments in the bank to implement data management programs, metadata management and data quality management.Job requirements I. Degrees and certificates: - Graduated from regular universities domestic (HCMUT, University of Technology, University of Natural Sciences, Academy of Economics, Academy of Cryptography, Foreign Trade University, National Economics University, Academy of Finance, Academy of Banking..or abroad) - Major Create: Information Technology, Information Mathematics, Data Science, Statistical Analysis, Automation, Electronics and Telecommunications II. Seniority - Have at least 03 years of experience in the field of Information Technology. Including at least 02 years of working experience in credit institutions or banks III. Experience - Have experience in analyzing indicators/dimensions/KPIs to measure performance in the finance & banking industry - Have good background knowledge of database management systems and data modeling - Use Proficient in using SQL language and data mining technologies - Good understanding of database management systems such as Oracle, Netteza, DB2, SQL Server,... - Careful, meticulous, works well under pressure . - Good logical thinking, ability to quickly grasp business requirements",Negotiable,"SKILLData Analysis, Database, Oracle, SQL, Data Mining",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F9e%2F11140124.png&w=256&q=75,https://www.vietnamworks.com/business-analyst-khoi-du-lieu--1757594-jd?source=searchResults&searchType=2&placement=1758094&sortBy=date
Software Developer,Zen Living Representative Office,"180/41 Lac Long Quan, Ward 10, District 11, Ho Chi Minh City",Full-time,"Job description Zen Living is one of the largest manufacturers and suppliers of cabinets in Western Canada. We are specialized in supplying and installing kitchen cabinets and bathroom vanities to owners and contractors across Canada and the United States with superior quality and craftsmanship for more than a decade. Zen Living Representative Office, located in District 11 HCMC, is looking for a Software Developer to take part in our beloved family with many opportunities for an international growth. Working location: Zen Living Representative Office 180/41 Lac Long Quan Street, Ward 10, District 11, HCMCJob requirements Required Skills/Knowledge (preferably 3 years experience with the following): • PHP • JavaScript • HTML • CSS Optional Skills/Knowledge ( will be helpful): • Three JS • Babylon JS • MySQL We are looking for an Applicant that: • Can work in a team environment • Is creative • Can follow directions • Is able to work on tasks based on concepts and ideas instead of line -by-line instructions • Foreign language: Advanced level of English: C1, C2, Toiec: 755-900 • One-on-one interview with a foreign direct manager Contact information Zen Living representative office Address: 180/41 Lac Long Quan, Ward 10, District 11, Ho Chi Minh City",Negotiable,"SKILLHTML, JavaScript, CSS, PHP, MySQL",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F17%2F11071010.png&w=256&q=75,https://www.vietnamworks.com/software-developer--1762105-jd?source=searchResults&searchType=2&placement=1762605&sortBy=date
Application Administrator - IT Department,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hanoi, Vietnam",Full-time,"Job description - Analyze and optimize application parameters; - Impact on the application - Change: through coordination with relevant parties: DEV, NET, DBA, MC - Coordinate and handle errors recorded from the application (issues, problems): localize, coordinate Collaborate with parties (internal and external) to evaluate and handle - Analyze logs, evaluate proposals, coordinate with parties to come up with solutions to improve application quality, improve user experience - Participate Participate in projects as an application manager: installation, deployment,... according to the DevOps modelJob requirements * Education level: - Graduated from a full-time university system at home or abroad - Specialized training : Information Technology, Information Technology, Electronics and Telecommunications... - Accepting candidates who are about to or have just graduated with mandatory conditions: graduated with Good or higher from the universities mentioned above. * Experience: - Experience in installing, administering, configuring, and optimizing applications, Middleware, and SOA. Knowledge of installing Corebank T24, TCServer, Websphere, Jboss is preferred - Having knowledge and experience in administering Oracle databases at Banks, Corporations & IT companies is an advantage - Having knowledge of UNIX systems, Linux * Skills: - Good research ability - Good document writing, presentation, and persuasion skills - Good analytical and problem solving skills - Good teamwork and independent working skills - English Good, can work directly with foreign partners. - Honest, trustworthy, careful. - Able to work under a high pressure, constantly changing environment",Negotiable,"SKILLInformation Technology, DevOps",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F9e%2F11140124.png&w=256&q=75,https://www.vietnamworks.com/chuyen-vien-quan-tri-ung-dung-application-administrator-khoi-cntt-1739121-jd?source=searchResults&searchType=2&placement=1739621&sortBy=date
Database Administrator (DBA) - IT Department,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hanoi, Vietnam",Full-time,"Job description - Manage and ensure the operation of the entire bank's database system including one or more of the following database types: mongodb, postgreeSQL, NoSQL, Oracle, SQL server, mysql/mariadb,... - Deploy, configure, Monitor and optimize performance, make changes, upgrade database system versions - Build, deploy and apply backup solutions, database monitoring tools (grafana/prometheus,...), Automated tools in database system assurance activities - Participate in bank projectsJob requirements 1. Education level: - Graduated from a full-time university system at home or abroad - Training major: Information Technology, Information Technology, Electronics and Telecommunications... - Accepting candidates who are about to or have just graduated with mandatory conditions: graduated with good grades or higher from the universities mentioned above.. 2. Experience: - Experience in building prometheus/grafana monitoring tools, ETL software administration is an advantage - Experience in sql/plsql, bash shell, Linux/Unix/Window - Has Mariadb, OCA, OCP certificates from Oracle, MS SQL Server or equivalent is an advantage 3. Other requirements: - Good research ability - Good document writing, presentation and persuasion skills - Good analytical and problem solving skills - Good working skills Good at teamwork and independent work - Good English, can work directly with foreign partners. - Honest, trustworthy, careful. - Able to work under a high pressure, constantly changing environment",Negotiable,"SKILLSQL, Database Software, DBA",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F9e%2F11140124.png&w=256&q=75,https://www.vietnamworks.com/chuyen-vien-quan-tri-co-so-du-lieu-dba-khoi-cntt-1739125-jd?source=searchResults&searchType=2&placement=1739625&sortBy=date
Senior Business Analyst Officer,LOTTE Finance Vietnam Co. LTD,"Floor 12A, West Tower, Lotte Center Building, 54 Lieu Giai - Cong Vi Ward - Ba Dinh District - Hanoi.",Full-time,"Job description • Elicits and documents existing processes and recommend solutions for improvement. • Performs the requirements management process. • Facilitates meetings between business units, IT and project managers to clarify the business requirements. • Write the business requirement document (BRD) and SRS. • Validates the business requirements with the business owners of the application to meet the business needs. • Assists business departments. • Generate weekly business analysis status reports for each of their assignments. • Assists with performing data analysis as requested. • Assists with preparing executive summaries and reports as needed. • Facilitate or provide any information needed for the business to update their process and procedures based on the project initiatives. • Other duties as assigned by management.Job requirements • Bachelor’s Degree. * Have experience about Core system or Credit Card system • Minimum five (5) years information technology experience preferred. • Minimum three (3) years experience in business analysis, systems installation, implementations, development, and/or quality assurance preferred. • Demonstrated knowledge of Business Analysis Knowledge Areas; basic understanding of system design concepts; knowledge of software usability principles, understanding of testing principles and processes; ability to write and review test cases. • Solid understanding of data types and relational database systems (Oracle, PL/SQL).",Negotiable,"SKILLIT Software, Business Analysis, Banking, Finance, IT Recruitment",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F6c%2F11128552.png&w=256&q=75,https://www.vietnamworks.com/senior-business-analyst-officer-1757934-jd?source=searchResults&searchType=2&placement=1758434&sortBy=date
Developer cum IT Support,Aardwolf Industries LLC,"Thuan Giao, Thuan An district, Binh Duong province",Full-time,"Job description Our company is looking for a well rounded developer to assist in the customization of our ERP software which is written in Python as well as our iOS(Swift)/Android apps. Additionally as our companies development is small this role is also merged with IT Support for our infrastructure of around 50 mixed Mac & Windows computers over 2 locations to manage hardware rotations and software licenses.Job requirements • Understanding of how ERP systems work. • Knowledge of Python, PHP & Swift • Experience with SQL and relational databases such as MySQL, Oracle, or PostgreSQL • Knowledge of tools/platforms like Git • Experience with HTML, CSS, JS. * IT support is a plus. • Knowledge of Mac & Windows Operating Systems • Understanding of Network Routers & VPNs Working at Aardwolf in Thuan Giao, Thuan An, Binh Duong",Negotiable,"SKILLPython, ERP Systems, SQL, PHP, Swift iOS",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F58%2F11235497.png&w=256&q=75,https://www.vietnamworks.com/developer-cum-it-support--1757917-jd?source=searchResults&searchType=2&placement=1758417&sortBy=date
IT Manager (IT Management - Helpdesk - Cyber ​​Security - AI Development),Ziku Global,"No. 628C Vo Nguyen Giap Street, An Phu Ward, Thu Duc City - Ho Chi Minh City",Full-time,"Job description Job description: The IT Manager is tasked with overseeing and managing the organization's information technology projects. This role involves coordinating with various departments to fulfill the organization's IT requirements and direct the delivery of networks, development, and disaster recovery systems and processes. Key Responsibilities: - Manage all of Ziku Capital’s information technology and computer systems, including Microsoft 365, Outlook emails, One Drive cloud storage systems, Windows 10+ deployments, Teams, Lastpass, Webflow, Monday.com and M365 Suite including Excel, Word. - Plan, organize, control, and evaluate IT and electronic data operations on a monthly/quarterly basis. - Lead IT projects, including the design and deployment of new IT systems and services for the benefit of Ziku Capital and third-party clients. - Monitor performance of information technology systems to determine cost and productivity levels, and make recommendations for improving the IT infrastructure. - Define IT infrastructure strategy, architecture, and processes. - Analyze business requirements by partnering with key stakeholders across the Ziku Capital organization to develop solutions for IT needs. - Ensure security of data, network access, and backup systems including 2FA, geo blocking and hardware lock down policies. - Act in alignment with user needs and system functionality to contribute to organizational policy. - Manage IT staff by recruiting, training, and coaching employees, communicating job expectations, and appraising their performance. - Audit systems and assess their outcomes. This includes regular system access audits, log reviews, penetration testing and phishing. - Preserve assets, information security, and control structures. - Handle annual budget and ensure cost-effectiveness. - Adherence to the essential eight framework.Job requirements General Requirements: - Graduated from University majoring in IT, Cybersecurity, Programing, etc. - Have at least 1 year of experience in a similar role. - Agile, hardworking, eager to learn, with a high sense of responsibility, honesty. - Proficient in office skills, Microsoft 365. - English skills: writing, reading & understanding, advanced communication skills are required. - Strong analytical and problem-solving skills. - Excellent attention to detail and accuracy. - Good communication, interpersonal, and relationship-building skills. - Strong knowledge of accounting principles, standards, and regulations. - Detail-oriented, good time-management, and organizational skills. - Ability to multitask and work in a fast-paced environment. Job Requirements for IT Manager: - Proven working experience as an IT Manager or relevant experience. - Excellent knowledge of technical management, information analysis, and computer hardware/software systems including Windows 10+, Microsoft 365, Outlook, OneDrive, Teams, LastPass, Webflow, Monday.com, M365 Suite including Excel, Word. - Expertise in data center management and data governance. - Hands-on experience with computer networks, network administration, and network installation both physically and remotely. I.e. the installation of new hardware and software on computers remotely and experience in using agents that can control a user computer to get the right outcome. - Strong critical thinking and decision-making skills. - Excellent project management skills and strong ability to prioritize. - Firm grasp on IT infrastructure and operations best practices. - A passion for understanding the application/usage of AI broad and Generative Artificial intelligence (GAI). An understanding of the Microsoft Co-pilot would be very advantageous. - An understanding of the Essential Compliance Framework as it relates to the protection from cyber threats Essential Eight Maturity Model | Cyber.gov.au. - A preparedness to review existing/new systems to assess relevance to the broader Ziku Group strategy of cohesion across the group and outstanding client engagement/service.",$500 - $1300,"SKILLIT Helpdesk, Cyber ​​Security Analysis, English Verbal Communication, IT Project Management, Agile Scrum",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Ff1%2F11264517.png&w=256&q=75,https://www.vietnamworks.com/it-manager-it-management-helpdesk-cyber-security-ai-development-1758423-jd?source=searchResults&searchType=2&placement=1758923&sortBy=date
MES Operation Engineer,Boyang Consultancy Services (Hong Kong) Limited,"Bac Giang, Vietnam",Full-time,"Job description 1. Conduct routine inspections of manufacturing equipment to ensure optimal performance and identify potential issues. 2. Troubleshoot equipment malfunctions and perform necessary repairs or maintenance. 3. Document inspection and maintenance activities, including detailed reports on equipment status and any required corrective actions. 4. Collaborate with production teams to ensure equipment downtime is minimized and production targets are met. 5. Maintain a high level of safety awareness, adhering to all safety protocols and regulations.Job requirements 1. Proficiency in Chinese language, including speaking, reading, and writing (to the extent possible). 2. Degree in Industrial Automation, Electrical Automation, or a related field. 3. Willingness to work in a factory environment, potentially involving 24x7 shifts. 4. Basic knowledge of manufacturing equipment and industrial processes. 5. Ability to troubleshoot and solve problems independently or in a team. 6. Good communication and interpersonal skills, able to interact effectively with colleagues and production teams. 7. Willingness to learn and adapt to new technologies and processes.",Negotiable,"SKILLChinese Madarin, Automation Equipment",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd4%2F11250145.png&w=256&q=75,https://www.vietnamworks.com/mes-operation-engineer--1757995-jd?source=searchResults&searchType=2&placement=1758495&sortBy=date
